,,,,,,,,,,MM,Sol,Mp,Bp,K,,,,,,,,,,,,,,,,,,,,
C7H8,Organic,Aromatics,2,Toluene,C7H8,C7H8,0.87,1,0.001,92.14,0,-95,110.6,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,トルエン,甲苯,甲苯,톨루엔,0,0,0,0,0,3
C8H10,Organic,Aromatics,2,Xylene,C8H10,C8H10,0.86,1,0.001,106.16,0,-47,144,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,キシレン,二甲苯,二甲苯,자일렌,0,0,0,0,0,3
C10H8,Organic,Aromatics,2,Naphthalene,C10H8,C10H8,1.14,1,0.001,128.17,0,218,218,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ナフタレン,萘,萘,나프탈렌,0,0,0,0,0,1
C6H5Cl,Organic,Aromatics,2,Chlorobenzene,C6H5Cl,C6H5Cl,1.11,1,0.001,112.56,0,-45,132,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化ベンゼン,氯苯,氯苯,클로로벤젠,0,0,0,0,0,3
C6H5OH,Organic,Aromatics,2,Phenol,C6H5OH,C6H5OH,1.07,1,0.001,94.11,100,40.9,181.7,700,0xFFCCCC,1,0xFFCCCC,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フェノール,苯酚,苯酚,페놀,0,0,0,0,0,3
C6H5COOH,Organic,Aromatics,2,Benzoic acid,C6H5COOH,C6H5COOH,1.27,1,0.001,122.12,100,122,249,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,安息香酸,苯甲酸,苯甲酸,安息香酸,0,0,0,0,0,1
C6H5CHO,Organic,Aldehydes,2,Benzaldehyde,C6H5CHO,C6H5CHO,1.04,1,0.001,106.12,0,-26,179,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ベンズアルデヒド,苯甲醛,苯甲醛,벤즈알데하이드,0,0,0,0,0,3
C6H5OCH3,Organic,Ethers,2,Anisole,C6H5OCH3,C6H5OCH3,0.99,1,0.001,108.14,0,-37,154,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アニソール,苯甲醚,苯甲醚,아니솔,0,0,0,0,0,3
C4H4N2,Organic,Heterocycles,2,Pyrazine,C4H4N2,C4H4N2,1.03,1,0.001,80.09,0,-42,113,700,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ピラジン,吡嗪,吡嗪,피라진,0,0,0,0,0,3
C5H6N2,Organic,Heterocycles,2,Pyridine,C5H6N2,C5H6N2,0.98,1,0.001,82.11,0,-42,115,700,0xFFFF00,1,0xFFFF00,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ピリジン,吡啶,吡啶,피리딘,0,0,0,0,0,3
