Chemical,Type,State,Available,RName,CName,DName,Density1,Density2,Density3,Mm,Sol,Mp,Bp,KH,color1,alpha1,color2,alpha2,color3,alpha3,color4,alpha4,friction,restitution,JPN,CHN,TW,KR,Solk,MOH,KOH,MH,PTN
K2O,Solid,0,1,Potassium oxide,K2O,K2O,2.35,1,0.001,94.2,0,350,99999,0,0xDDDDDD,1,0xDDDDDD,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化カリウム,氧化钾,氧化鉀,산화 칼륨,1,0,0,0,2
K2SO4,Solid,0,1,Potassium sulfate,K2SO4,K2SO4,2.664,1,0.001,174.3,120,1069,1089,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸カリウム,硫酸钾,硫酸鉀,황산 칼륨,0,0,0,0,1
KBr,Solid,0,0,Potassium bromide,KBr,KBr,1.984,1,0.001,119,67,734,1435,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,臭化カリウム,溴化钾,溴化鉀,염화칼륨,0,0,0,0,1
KCl,Solid,0,1,Potassium chloride,KCl,KCl,1.984,1,0.001,74.55,344,770,1420,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化カリウム,氯化钾,氯化鉀,염화칼륨,0,0,0,0,1
KClO3,Solid,0,1,Potassium chlorate,KClO3,KClO3,2.34,1.34,0.0698,122.6,0.88,356,400,0,0xAAAAAA,1,0xAAAAAA,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩素酸カリウム,氯酸钾,氯酸鉀,염소산 칼륨,0,0,0,0,1
KH,Solid,0,1,Potassium hydride,KH,KH,1.47,1,0.001,40.1062,0,99,316,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水素化カリウム,氢化钾,氫化鉀,수소화 칼륨,0,0,0,0,1
KI,Solid,0,1,Potassium iodide,KI,KI,3.123,1,0.001,166,140,681,1330,0,0xFFFFFFF,1,0xFFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヨウ化カリウム,碘化钾,碘化鉀,요오드화 칼륨,0,0,0,0,1
KMnO4,Solid,0,1,Potassium permanganate,KMnO4,KMnO4,2.7,1,0.001,158,6.38,240,99999,0,0x4A455A,1,0x4A455A,0.9,0xFFFFFF,0,0xF242F3,0.5,0.5,0.15,過マンガン酸カリウム,高锰酸钾,高錳酸鉀,과망간산 칼륨,0,0,0,0,1
KNO3,Solid,0,1,Potassium nitrate,KNO3,KNO3,2.11,2.32,0.001,101.1,316,334,400,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸カリウム,硝酸钾,硝酸鉀,질산 칼륨,0,0,0,0,1
KOH,Solid,0,1,Potassium hydroxide,KOH,KOH,2.044,1,0.001,56.11,121,360,1327,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化カリウム,氢氧化钾,氫氧化鉀,수산화 칼륨,0,1,0,0,1
Li,Solid,0,1,Lithium,Li,Li,0.534,1,0.001,6.941,0,180.54,1342,0,0xEAF0EE,1,0xEAF0EE,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,リチウム,锂,鋰,리튬,0,0,0,0,2
Li2O,Solid,0,1,Lithium oxide,Li2O,Li2O,2.013,1,0.001,29.88,0,1438,9999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化リチウム,氧化锂,氧化鋰,산화 리튬,0,0,0,0,2
Li3N,Solid,0,1,Lithium nitride,Li3N,Li3N,1.27,1,0.001,34.83,0,813,999999,0,0xCC3173,1,0xCC3173,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,窒化リチウム,氮化锂,氮化鋰,질화 리튬,0,0,0,0,1
LiOH,Solid,0,1,Lithium hydroxide,LiOH,LiOH,1.46,1,0.001,23.95,12.8,462,924,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化リチウム,氢氧化锂,氫氧化鋰,수산화 리튬,0,1,0,0,1
Mg,Solid,0,1,Magnesium,Mg,Mg,1.738,0.927,0.001,24.31,0,650,1091,0,0x484A45,1,0x6A6D66,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,マグネシウム,镁,鎂,마그네슘,0,0,0,0,2
Mg3N2,Solid,0,1,Magnesium nitride,Mg3N2,Mg3N2,2.71,1,0.01,100.95,0,999,9999,0,0xDEEB7F,1,0xDEEB7F,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,窒化マグネシウム,氮化镁,氮化鎂,질화 마그네슘,0,0,0,0,1
MgCl2,Solid,0,1,Magnesium chloride,MgCl2,MgCl2,2.32,1,0.001,95.21,54.3,714,1412,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化マグネシウム,氯化镁,氯化鎂,염화 마그네슘,0,0,1.800000000000000000E-17,0,1
MgNO32,Solid,0,1,Magnesium nitrate,MgNO32,Mg(NO3)2,2.3,1.46,0.001,148.3,125,129,330,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸マグネシウム,硝酸镁,硝酸鎂,질산 마그네슘,0,0,1.800000000000000000E-17,0,1
MgO,Solid,0,1,Magnesium oxide,MgO,MgO,3.58,0.927,0.001,40.3,0,850,1091,0,0x4C4E49,1,0x6A6D66,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化マグネシウム,氧化镁,氧化鎂,산화 마그네슘,0,0,0,0,2
MgOH2,Solid,0,1,Magnesium hydroxide,MgOH2,Mg(OH)2,2.34,1,0.001,58.32,0,350,99999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化マグネシウム,氢氧化镁,氫氧化鎂,수산화 마그네슘,0,2,0,0,1
MgSO4,Solid,0,1,Magnesium sulfate,MgSO4,MgSO4,2.66,1,0.001,120.4,255,1124,99999,0,0xECEDEF,1,0xECEDEF,0.9,0xFFFFFF,0,0xECEDEF,0,0.5,0.15,硫酸マグネシウム,硫酸镁,硫酸鎂,황산 마그네슘,0,0,1.800000000000000000E-17,0,1
Green,Liquid,0,1,Green,Green,Green,1.9,1.2,1.1,100,100,0,140,0,0xF0F0F0,0.3,0xA5D455,0.9,0xF0F0F0,0,0,0,0.5,0.15,緑,绿色,綠色,녹색,0,0,0,0,1
Mint,Liquid,0,1,Mint,Mint,Mint,1.9,1.2,1.1,100,0,0,140,0,0xF0F0F0,0.3,0x5AE2C6,0.9,0xF0F0F0,0,0,0,0.5,0.15,ミント,薄荷色,薄荷色,박하,0,0,0,0,1
Mn,Solid,0,1,Manganese,Mn,Mn,7.21,5.95,0.001,54.94,0,1246,2061,0,0xCAC6C3,1,0xCAC6C3,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,マンガン,锰,錳,망간,0,0,0,0,2
MnCl2,Solid,0,1,Manganese(II) chloride,MnCl2,MnCl2,2.98,1,0.001,125.8,600,654,1225,0,0xFDC4D3,1,0xFDC4D3,0.9,0xFFFFFF,0,0xFDC4D3,0.3,0.5,0.15,塩化マンガン（II）,氯化锰,氯化錳,염화 망간,0,0,5.30000000000000000E-16,0,1
MnNO32,Solid,0,1,Manganese(II) nitrate,MnNO32,Mn(NO3)2,1.536,1,0.001,178.95,0,37,129,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸マンガン（II）,硝酸锰,硝酸錳,질산 망간,0,0,0,0,1
MnO2,Solid,0,1,Manganese dioxide,MnO2,MnO2,5.026,1,0.001,86.93,0,535,99999,0,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,二酸化マンガン,二氧化锰,二氧化錳,이산화 망간,0,0,0,0,2
MnSO4,Solid,0,1,Manganese(II) sulfate,MnSO2,MnSO2,3.250,1,0.001,151.00,70,710,850,0,0x000000,1,0x000000,0.9,0xFFFFFF,0,0xE3B5B5,0,0.5,0.15,二酸化マンガン,二氧化锰,二氧化錳,이산화 망간,0,0,0,0,2
N2,Gas,0,1,Nitrogen,N2,N2,2,1,0.001251,28.01,0,-210,-195.8,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,窒素,氮,氮,질소,0,0,0,0,1
N2O,Gas,0,1,Nitrous oxide,N2O,N2O,2,1,0.001977,44.01,0.15,-90.86,-88.48,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,亜酸化窒素,笑气,笑氣,아산화 질소,0,0,0,0,1
Na,Solid,0,1,Sodium,Na,Na,0.968,0.927,0.001,22.99,0,97.72,883,0,0xB8BAB5,1,0xB8BAB5,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ナトリウム,钠,鈉,나트륨,0,0,0,0,2
Na2CO3,Solid,0,1,Sodium carbonate,Na2CO3,Na2CO3,2.54,1,0.001,106,350,851,1633,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,炭酸ナトリウム,纯碱,純鹼,탄산나트륨,0,0,1.80000E-04,0,1
Na2O,Solid,0,1,Sodium oxide,Na2O,Na2O,2.27,1,0.001,61.98,0,1132,1950,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化ナトリウム,氧化钠,氧化鈉,산화 나트륨,0,0,0,0,2
Na2O2,Solid,0,1,Sodium peroxide,Na2O2,Na2O2,2.805,1.03,0.001,77.98,0,460,657,0,0xF4F8AC,1,0xF4F8AC,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,過酸化ナトリウム,过氧化钠,過氧化鈉,과산화 나트륨,0,0,0,0,2
Na2SO3,Solid,0,1,Sodium sulfite,Na2SO3,Na2SO3,2.633,1,0.001,126.04,27,500,999999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸ナトリウム,硫酸钠,硫酸鈉,황산 나트륨,0,0,0,0,1
Na2SO4,Solid,0,1,Sodium sulfate,Na2SO4,Na2SO4,2.664,1,0.001,142,90,884,1429,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸ナトリウム,硫酸钠,硫酸鈉,황산 나트륨,0,0,0,0,1
NaAlO2,Solid,0,1,Sodium aluminate,NaAlO2,NaAlO2,1.5,1.1,0.001,81.97,22,1650,99999,4.6000E-03,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アルミン酸ナトリウム,铝酸钠,鋁酸鈉,알루 민산 나트륨,0,0,0,0,1
NaC2H3O2,Solid,0,1,Sodium acetate,NaC2H3O2,NaC2H3O2,1.528,1,0.001,82.03,123,324,881.4,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0.06,0.5,0.15,酢酸ナトリウム,醋酸钠,醋酸鈉,아세트산 나트륨,0,0,0,0,1
NaCl,Solid,0,1,Sodium chloride,NaCl,NaCl,2.165,1.097,0.0698,58.44,35.9,801,1413,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化ナトリウム,氯化钠,氯化鈉,염화나트륨,0,0,0,0,1
NaBr,Solid,0,1,Sodium bromide,NaBr,NaBr,3.210,1.097,0.0698,102.89,94.3,747,1390,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化ナトリウム,氯化钠,氯化鈉,염화나트륨,0,0,0,0,1
NaHCO3,Solid,0,1,Sodium bicarbonate,NaHCO3,NaHCO3,2.2,2,0.001,84,9,999999,9999999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,重炭酸ナトリウム,碳酸氢钠,碳酸氫鈉,탄산수소 나트륨,0,0,0,0,1
NaHSO4,Solid,0,1,Sodium bisulfate,NaHSO4,NaHSO4,2.742,1,0.001,120.1,75,215,315,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,重硫酸ナトリウム,硫酸氢钠,硫酸氫鈉,황산수소 나트륨,0,0,0,1,1
NaNO3,Solid,0,1,Sodium nitrate,NaNO3,NaNO3,2.257,1.896,0.001,85,91.2,308,380,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸ナトリウム,硝酸钠,硝酸鈉,질산 나트륨,0,0,0,0,1
NaOH,Solid,0,1,Sodium hydroxide,NaOH,NaOH,1.03,1,0.001,40,111000,318,1388,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化ナトリウム,氢氧化钠,氫氧化鈉,수산화 나트륨,0,1,0,0,1
Ne,Gas,0,1,Neon,Ne,Ne,2,1,0.0009,20.18,0,-248.59,-246.08,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ネオン,氖,氖,네온,0,0,0,0,1
NH3,Gas,0,1,Ammonia,NH3,NH3,0.817,0.6819,0.00073,17.03,999999,-77.73,-33.34,0,0xFFFFFF,0.5,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アンモニア,氨,氨,암모니아,0,0,0,0,1
NH4OH,Solution,0,1,Ammonium hydroxide,NH3,NH4OH,0.910,0.6819,0.00073,35.04,999999,-57.50,37.70,0,0xFFFFFF,0.5,0xFFFFFF,0.12,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アンモニア,氨,氨,암모니아,0,0,0,0,1
NH42SO4,Solid,0,1,Ammonium sulfate,NH42SO4,(NH4)2SO4,1.769,1,0.001,132.14,74.4,235,999999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸アンモニウム,硫酸铵,硫酸銨,황산 암모늄,0,0,0,0,1
NH42CO3,Solid,0,1,Ammonium carbonate,NH42CO3,(NH4)2CO3,1.500,1,0.001,96.09,99999.0,58,999999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸アンモニウム,硫酸铵,硫酸銨,황산 암모늄,0,0,0,0,1
NH4Cl,Solid,0,1,Ammonium chloride,NH4Cl,NH4Cl,1.53,1,0.001,17.03,37.2,338,520,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化アンモニウム,氯化铵,氯化銨,염화 암모늄,0,0,0,0,1
NH4NO3,Solid,0,1,Ammonium nitrate,NH4NO3,NH4NO3,1.725,1,0.001,80.05,150,169.6,210,0,0xE1E8EE,1,0xE1E8EE,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸アンモニウム,硝酸铵,硝酸銨,질산 암모늄,-50,0,0,0,1
Ni,Solid,0,1,Nickel,Ni,Ni,8.900,7.81,0.001,58.69,0,1455.0,2730,0,0x626262,1,0x626262,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ニッケル,镍,鎳,니켈,0,0,0,0,2
NI3,Solid,0,1,Nitrogen triiodide,NI3,NI3,1.5,1,0.001,394.72,0,200,999999,0,0x571721,1,0x571721,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,三ヨウ化窒素,三碘化氮,三碘化氮,요오드화 질소,0,0,0,0,1
NO,Gas,0,1,Nitric oxide,NO,NO,1.562,1.3,0.00134,30.01,74,-164,-152,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸化窒素,一氧化氮,一氧化氮,일산화 질소,0,0,0,0,1
NO2,Gas,0,1,Nitrogen dioxide,NO2,NO2,1.562,1.443,0.0034,46,0,-11.2,21,0,0xFFFFFF,1,0xFFFFFF,0.9,0xA35A0B,0.5,0xFFFFFF,0,0.5,0.15,二酸化窒素,二氧化氮,二氧化氮,이산화질소,0,0,0,0,1
O2,Gas,0,1,Oxygen,O2,O2,2,1,0.001429,32,1.1,-218.79,-182.95,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,酸素,氧,氧,산소,0,0,0,0,1
O3,Gas,0,1,Ozone,O3,O3,2,1,0.002114,48,0,-192.2,-112,0,0xFFFFFF,1,0xFFFFFF,0.9,0x0099FF,0.3,0xFFFFFF,0,0.5,0.15,オゾン,臭氧,臭氧,오존,0,0,0,0,1
P,Solid,0,1,Phosphorus,P,P,1.823,1.8,0.001,30.97,0,44.2,280,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,リン,磷,磷,인,0,0,0,0,1
P2O5,Solid,0,1,Phosphorus pentoxide,P2O5,P2O5,2.39,2.2,0.001,142,0,340,360,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,五酸化リン,五氧化二磷,五氧化二磷,오산화인,0,0,0,0,1
Pb,Solid,0,1,Lead,Pb,Pb,11.34,10.66,0.001,207.2,0,327.46,1749,0,0x575759,1,0x89898C,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,鉛,铅,鉛,납,0,0,0,0,2
PbCl2,Solid,0,1,Lead chloride,PbCl2,PbCl2,5.85,5.45,0.001,278.1,0.45,501,950,0,0xFFFFFF,1,0xFFFFFF,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化鉛,氯化铅,氯化鉛,염화 납,0,0,0,0,1
PbF2,Solid,0,0,Lead fluoride,PbF2,PbF2,7.75,1,0.001,245.2,0.064,824,1293,0,0xFFFFFF,1,0xFFFFFF,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,フッ化鉛,氟化铅,氟化鉛,플루오르화 납,0,0,0,0,1
PbI2,Solid,0,0,Lead iodide,PbI2,PbI2,6.16,1,0.001,461.01,0,402,872,0,0xFED710,1,0xFED710,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ヨウ化鉛,碘化铅,碘化鉛,요오드화 납,0,0,0,0,1
PbNO32,Solid,0,1,Lead nitrate,PbNO32,Pb(NO3)2,4.53,1,0.001,331.2,52,270,999999,0,0xFFFFFF,1,0xFFFFFF,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸鉛,硝酸铅,硝酸鉛,질산 납,0,0,0,0,1
PbO,Solid,0,1,Lead oxide,PbO,PbO,11.34,10.66,0.001,223.2,0,888,1477,0,0xEEDBA2,1,0xEEDBA2,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,一酸化鉛,氧化铅,氧化鉛,산화 납,0,0,0,0,2
PbO2,Solid,0,1,Lead dioxide,PbO2,PbO2,9.38,1,0.001,239.2,0,290,999999,0,0x000000,1,0x000000,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,二酸化鉛,二氧化铅,二氧化鉛,이산화 납,0,0,0,0,2
PbSO4,Solid,0,1,Lead sulfate,PbSO4,PbSO4,6.29,1,0.001,303.3,0,1087,999999,0,0xFFFFFF,1,0xFFFFFF,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸鉛,硫酸铅,硫酸鉛,황산 납,0,0,0,0,1
Pt,Solid,0,1,Platinum,Pt,Pt,21.45,19.77,0.001,195.08,0,1768.3,3825,0,0xE3E5DD,1.5,0xE3E5DD,0.8,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,白金,铂金,鉑金,백금,0,0,0,0,2
Blue,Liquid,0,1,Blue,Blue,Blue,1.9,2,1.1,100,0,0,140,0,0xF0F0F0,0.3,0x66CCFF,0.9,0xF0F0F0,0,0,0,0.5,0.15,青,蓝色,藍色,푸른,0,0,0,0,1
Purple,Liquid,0,1,Purple,Purple,Purple,1.9,1.5,1.1,100,0,0,140,0,0xF0F0F0,0.3,0x9047B2,0.9,0xF0F0F0,0,0,0,0.5,0.15,パープル,紫色,紫色,보라색,0,0,0,0,1
S,Solid,0,1,Sulfur,S,S,1.96,1.819,0.001,32.07,0,115.2,444.6,0,0xF0EA94,1,0xF0EA94,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫黄,硫,硫,황,0,0,0,0,1
Si,Solid,0,1,Silicon,Si,Si,2.33,1,0.001,28,0,1410,2355,0,0xFFFFFF,0.7,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,ケイ素,硅,矽,규소,0,0,0,0,1
SO2,Gas,0,1,Sulfur dioxide,SO2,SO2,2,1.46,0.002551,64.07,9.4,-75,-10,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,二酸化硫黄,二氧化硫,二氧化硫,이산화황,0,0,0,0,1
Yellow,Liquid,0,1,Yellow,Yellow,Yellow,1.9,1.2,1.1,100,0,0,140,0,0xF0F0F0,0.3,0xC5A14E,0.9,0xF0F0F0,0,0,0,0.5,0.15,黄,黄色,黃色,황색,0,0,0,0,1
Zn,Solid,0,1,Zinc,Zn,Zn,7.14,1,0.001,65.38,0,419.53,907,0,0xECEDEF,1,0xECEDEF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,亜鉛,锌,鋅,아연,0,0,0,0,2
ZnCl2,Solid,0,1,Zinc chloride,ZnCl2,ZnCl2,2.907,1,0.001,136.3,430,292,756,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化亜鉛,氯化锌,氯化鋅,염화 아연,0,0,3.3000000000000E-12,0,1
ZnNO32,Solid,0,1,Zinc nitrate,ZnNO32,Zn(NO3)2,2.065,2.065,0.001,189.36,184,110,125,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸亜鉛,硝酸锌,硝酸鋅,질산 아연,0,0,3.3000000000000E-12,0,1
ZnO2,Solid,0,1,Zinc peroxide,ZnO2,ZnO2,1.57,1.57,0.001,97.41,0,212,999999,0,0xFFEDBC,1,0xFFEDBC,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,過酸化亜鉛,过氧化锌,過氧化鋅,과산화 아연,0,0,0,0,2
ZnS,Solid,0,0,Zinc sulfide,ZnS,ZnS,4.09,1,0.001,97.47,0,1085,999999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫化亜鉛,硫化锌,硫化鋅,황화 아연,0,0,0,0,1
ZnSO4,Solid,0,1,Zinc sulfate,ZnSO4,ZnSO4,3.54,1,0.001,161.5,40,100,280,0,0xECEDEF,1,0xECEDEF,0.9,0xFFFFFF,0,0xECEDEF,0,0.5,0.15,硫酸亜鉛,硫酸锌,硫酸鋅,황산 아연,0,0,0,0,1
White,Liquid,0,1,White,White,White,1.2,2,1.1,100,0,0,140,0,0xF0F0F0,0.3,0xFFFFFF,0.9,0xF0F0F0,0,0,0,0.5,0.15,白,白色,白色,흰,0,0,0,0,1
Orange,Liquid,0,1,Orange,Orange,Orange,1.2,2,1.1,100,0,0,140,0,0xF0F0F0,0.3,0xFF8710,0.9,0xF0F0F0,0,0,0,0.5,0.15,オレンジ,橘色,橘色,오렌지,0,0,0,0,1Na2CO3
NaHCO3,Solid,0,1,Sodium bicarbonate,NaHCO3,NaHCO3,2.2,1,0.001,84.01,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,重曹,碳酸氢钠,碳酸氫鈉,중조,0,0,0,0,1
CaCO3,Solid,0,1,Calcium carbonate,CaCO3,CaCO3,2.71,1,0.001,100.09,0,825,99999,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,石灰石,石灰石,石灰石,탄산칼슘,0,0,0,0,1
CaO,Solid,0,1,Calcium oxide,CaO,CaO,3.34,1,0.001,56.08,0,2572,2850,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,生石灰,生石灰,生石灰,생석회,0,0,0,0,1
Ca(OH)2,Solid,0,1,Calcium hydroxide,Ca(OH)2,Ca(OH)2,2.24,1,0.001,74.09,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,消石灰,熟石灰,熟石灰,수산화칼슘,0,0,0,0,1
HCl,Solution,4,1,Hydrochloric acid,HCl,HCl,1.18,1,0.001,36.46,100,-114,85,0,0xFFFF00,1,0xFFFF00,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩酸,盐酸,鹽酸,염산,0,0,0,0,3
H2SO4,Solution,4,1,Sulfuric acid,H2SO4,H2SO4,1.84,1,0.001,98.08,100,10,337,0,0xFFFF00,1,0xFFFF00,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硫酸,硫酸,硫酸,황산,0,0,0,0,3
HNO3,Solution,4,1,Nitric acid,HNO3,HNO3,1.51,1,0.001,63.01,100,-42,83,0,0xFFFF00,1,0xFFFF00,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,硝酸,硝酸,硝酸,질산,0,0,0,0,3
H3PO4,Solution,4,1,Phosphoric acid,H3PO4,H3PO3,1.88,1,0.001,98,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.3,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,磷酸,磷酸,磷酸,인산,0,0,0,0,3
NaOH,Solid,0,1,Sodium hydroxide,NaOH,NaOH,2.13,1,0.001,40,100,323,1388,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化钠,氢氧化钠,氫氧化鈉,수산화나트륨,0,0,0,0,1
KOH,Solid,0,1,Potassium hydroxide,KOH,KOH,2.12,1,0.001,56.11,100,360,1327,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,水酸化カリウム,氢氧化钾,氫氧化鉀,수산화칼륨,0,0,0,0,1
NH3,Solid,0,1,Ammonia,NH3,NH3,0.73,1,0.001,17.03,100,-78,-33,0,0xFFFFFF,1,0xFFFFFF,0.5,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,アンモニア,氨,氨,암모니아,0,0,0,0,3
NH4Cl,Solid,0,1,Ammonium chloride,NH4Cl,NH4Cl,1.53,1,0.001,53.49,100,-300,-200,0,0xFFFFFF,1,0xFFFFFF,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,塩化アンモニウム,氯化铵,氯化銨,염화암모늄,0,0,0,0,1
Fe,Solid,0,1,Iron,Fe,Fe,7.87,1,0.001,55.85,0,1538,2861,0,0x4A4A4A,1,0x4A4A4A,0.9,0xFFFFFF,0,0xFFFFFF,0,0.5,0.15,鉄,铁,鐵,철,0,0,0,0,2
